姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,工作范围
钟志生,0,1986,1990,1993,1996,2003,0,0,"景德镇市,江西省,鹰潭市,分宜县,九江市,新余市"
刘捷,0,1998,1998,2000,0,0,0,2011,"湖南省,江西省,新余市"
陈兴超,0,0,0,1996,0,2001,2016,0,"吉安市,景德镇市,江西省,鹰潭市"
胡世忠,0,0,0,0,0,0,0,0,"吉安市,江西省,南昌县"
蒋斌,0,0,0,0,2000,2011,0,0,"郊区,江西省,南昌市,宜春市,吉安市,新余市"
徐景颜,0,1990,1994,0,0,1997,0,0,"淄博市,山东省,聊城市,临沂市"
张术平,0,1986,0,1995,0,2000,0,0,"烟台市,枣庄市,济宁市,安丘市,山东省,曲阜市,临沂市,潍坊市"
张江汀,0,0,0,0,0,1995,2015,0,"烟台市,诸城市,青岛市,山东省,青州市,潍坊市"
孟凡利,0,0,0,0,2013,2013,2017,0,"烟台市,山东省,青岛市"
刘曙光,0,0,1993,1997,2002,2011,0,0,"烟台市,辽宁省,栖霞市,山东省,营口市,东营市,潍坊市"
孙述涛,0,0,0,0,2001,2008,2018,0,"山东省,济南市,威海市,菏泽市"
张惠,0,0,1995,2001,0,2003,0,0,"山东省,威海市,青岛市"
李同道,0,0,0,0,2011,2011,0,0,"临淄区,泰安市,枣庄市,山东省,淄博市"
林峰海,0,0,0,1992,2002,2006,2017,0,"山东省,聊城市,临沂市"
王忠林,0,1989,1995,2000,2006,2007,2016,0,"聊城市,枣庄市,山亭区,山东省,湖北省,费县,市中区,峄城区,济南市,武汉市,城区"
张光峰,0,0,0,0,1999,2006,0,0,"滨州市,山东省,平原县"
崔洪刚,0,0,1986,1993,2001,2013,0,0,"淄川区,泰安市,济宁市,滨州市,张店区,淄博市,博山区,周村区"
孙爱军,0,0,2000,0,0,2001,2002,0,"烟台市,聊城市,山东省,平度市,菏泽市"
马懿,0,0,1983,1989,1996,2011,2016,0,"新安县,郑州市,洛阳市,河南省"
祁金立,0,1981,1991,1993,2000,2006,0,0,"河南省,平顶山市,滑县,郑州市,开封市,漯河市,宝丰县,丰县"
张国伟,1983,1985,1992,1994,2001,2013,0,0,"南阳市,新乡市,河南省,平顶山市,方城县,商丘市,西峡县"
张文深,1984,0,1986,1989,1994,2011,0,0,"南阳市,河南省,许昌县,开封市,商丘市,许昌市,襄城县,焦作市,禹州市,驻马店市"
魏小东,0,0,1990,1994,2004,2011,2017,0,"河南省,郑州市,商丘市,洛阳市,鹤壁市,北京市"
范修芳,0,1986,1989,1990,2001,2013,0,0,"濮阳市,鹤壁市,河南省"
王战营,1989,1991,1993,1998,2002,2011,2011,0,"郑州市,商丘市,新乡市,河南省"
穆为民,0,0,1992,1994,1997,2003,2016,0,"叶县,南阳市,河南省,郑州市"
程志明,1989,1991,1996,1997,2002,2013,2018,0,"南阳市,新乡市,郑州市,河南省,开封市,黑龙江省"
陶明伦,0,0,0,0,0,0,0,1979,"泌阳县,河南省,遂平县,商丘市,安徽省"
郭瑞民,0,0,1987,1994,2003,2006,2017,0,"辉县市,新乡市,河南省,平顶山市,信阳市,封丘县,上蔡县,驻马店市"
乔新江,1989,1992,0,2000,2006,2012,0,0,"信阳市,确山县,河南省"
徐光,1985,0,1988,1992,1996,2006,2017,0,"河南省,淇县,鹤壁市,安阳市,周口市"
刘继标,0,0,1995,0,2001,2013,0,0,"濮阳县,鹤壁市,三门峡市,周口市,驻马店市"
武国定,0,0,0,0,1991,2013,2018,0,"河南省,平顶山市,叶县,许昌市,舞钢市,驻马店市"
王宇燕,0,0,2002,0,2006,2008,2017,0,"项城市,河南省,山西省,济源市,运城市,修武县,周口市"
阮成发,0,1985,0,1987,1995,1998,2004,2016,"襄樊市,武昌区,黄石市,湖北省,武汉市"
唐良智,0,0,0,1987,2001,2003,2011,2018,"襄樊市,武汉市,湖北省"
周先旺,0,1985,1993,1994,1998,2002,2017,0,"黄石市,宣恩县,建始县,湖北省,武汉市"
王君正,0,0,1988,1993,1998,2007,2012,0,"长春市,吉林省,湖北省"
周霁,1984,1994,0,2004,2006,2010,2016,0,"襄樊市,十堰市,宜昌市,谷城县,仙桃市,湖北省,宜城市"
张维国,0,0,1998,1999,2005,2012,0,0,"房县,湖北省,郧县,十堰市"
黄楚平,0,0,2004,0,0,2007,2012,0,"江汉区,咸宁市,宜昌市,湖北省,武汉市"
马旭明,0,0,0,0,0,2010,0,0,"宜昌市,黄石市,武汉市,湖北省"
万勇,0,0,0,1994,1995,0,2005,0,"荆门市,湖北省,武汉市,西湖区"
肖菊华,0,1994,0,1997,1997,2005,2019,0,"湖北省,青山区,荆门市,武汉市,荆州市"
李兵,1984,0,1990,1991,1992,2000,0,0,"黄石市,鄂州市,咸宁市,湖北省"
刘雪荣,0,1985,1989,1992,0,2000,0,0,"十堰市,黄石市,黄冈市,竹山县,湖北省,潜江市"
陈安丽,0,1987,1991,1996,0,2008,2018,0,"随州市,黑龙江省,黄冈市,湖北省"
任振鹤,0,1988,1990,0,1996,2008,2015,0,"郊区,咸宁市,鹤峰县,浙江省,黄冈市,湖北省,利川市,普陀区,江苏省,上海市"
丁小强,0,0,0,0,2004,2007,0,0,"赤壁市,运城市,咸宁市,湖北省"
郄英才,0,1996,0,0,2003,2013,0,0,"随州市,黄石市"
周文霞,0,1994,2000,2002,2012,0,0,0,"京山县,仙桃市,荆门市,湖北省"
柯俊,0,0,1993,1997,2007,2017,0,0,"黄石市,黄石港区,浙江省,湖北省,台州市,铁山区,路桥区"
吴锦,0,1998,0,2003,2008,2019,0,0,"黄石市,宜昌市,湖北省,西陵区,当阳市"
黄剑雄,0,2001,2002,2004,2009,2013,0,0,"厦门市,咸宁市,漳州市,湖北省,福建省,潜江市"
周森锋,0,0,0,2008,2009,0,0,0,"襄樊市,神农架林区,宜城市"
易炼红,0,0,1992,0,0,2004,2011,2018,"湖南省,辽宁省,长沙市,沅陵县,岳阳市,江西省,陵县,沈阳市"
张剑飞,0,0,0,0,0,2007,2013,0,"湖南省,长沙市"
毛腾飞,1991,1992,1996,2000,2007,2013,0,0,"湖南省,武冈市,郴州市,邵阳市,湘潭市,株洲市"
龚文密,0,1990,1993,1995,0,1999,0,0,"邵阳市,湖南省,张家界市"
盛荣华,0,1985,1989,2001,2003,2011,2016,0,"湖南省,衡阳市,岳阳市,衡阳县"
周德睿,1992,1995,1998,2005,2006,2013,0,0,"湖南省,常德市,永州市"
杨光荣,0,0,0,2002,2006,2013,2016,0,"天心区,湖南省,长沙县,沙县,长沙市,阜阳市,张家界市,安徽省"
