姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,现级别,工作省份,工作地区,企业经历,(副)市长,党委(副)书记
包钢,1994,0,1998,0,2006,2013,2018,0,7,内蒙古,"包头,阿拉善盟,呼和浩特,乌海,内蒙古自治区,乌审旗",0,1,0
云光中,0,0,0,1997,2001,2006,2014,0,0,内蒙古,"满洲里,鄂尔多斯,呼和浩特,乌海,呼伦贝尔,内蒙古自治区",0,1,0
段志强,0,1994,0,2002,2006,2011,2018,0,7,内蒙古,"海拉尔区,新巴尔虎右旗,赤峰,呼伦贝尔,内蒙古自治区,巴彦淖尔",1,1,0
杜学军,0,0,0,0,0,0,1993,0,6,"北京,内蒙古","石景山区,满洲里,包头,额尔古纳,兴安盟,北京,乌兰察布,内蒙古自治区,呼伦贝尔,陈巴尔虎旗",1,1,0
张院忠,1987,1990,0,0,1999,0,2016,0,7,内蒙古,"包头,锡林郭勒盟,呼和浩特,内蒙古自治区,土默特左旗",0,1,0
冯玉臻,0,0,0,2000,2004,2017,0,0,6,"海南,内蒙古","和林格尔县,南区,海南区,阿拉善盟,新区,乌兰察布,呼和浩特,乌兰察布盟,内蒙古自治区,乌海,通辽,玉泉区",1,1,0
陈海波,0,0,0,0,0,1998,2008,0,7,"黑龙江,辽宁","盘锦,沈阳,鞍山,哈尔滨,海城",0,1,1
吴忠琼,0,0,1997,1998,0,2010,2018,0,7,"北京,江西,辽宁","北京,鞍山",1,1,0
高宏彬,0,0,0,2002,2007,2010,0,0,6,"辽宁,新疆","沈阳,塔城,抚顺,本溪,东陵区,法库县,代县",1,1,0
王正谱,0,0,1994,1997,2008,2010,2016,0,7,"北京,安徽,四川,辽宁","合作,任县,辽阳,北京,涡阳县",0,1,0
孙国相,0,0,0,0,0,2002,2018,0,7,辽宁,"盘锦,鞍山",0,1,0
蹇彪,1989,1993,0,0,1998,2010,0,0,6,辽宁,"朝阳,盘锦,沈阳,新区,桂林,新城子区",1,1,1
王明玉,0,1991,1994,1996,0,2010,2018,0,7,辽宁,"朝阳,锦州",0,1,1
高广滨,0,0,1992,0,0,1997,2007,0,7,吉林,"龙井,通化,松原,长春,吉林,公主岭",0,1,1
姜治莹,0,0,0,0,0,1996,2012,0,0,吉林,"延边朝鲜族自治州,双阳区,长春,吉林,白城",0,1,1
